"V7","strain"
3.015735,0.129514244146948
3.21739,0.149647998095046
3.419043,0.169007376891288
3.620698,0.187495583641715
3.82235,0.205403009028259
4.024002,0.222536059262931
4.225659,0.239185125027715
4.427305,0.255253409428598
4.628956,0.270837709359594
4.83061,0.286034821714645
5.032268,0.300554355811835
5.233928,0.314783499227076
5.435574,0.328625455066406
5.63723,0.342177020223786
5.838884,0.355341397805238
6.040538,0.368118587810763
6.24219,0.38079898092231
6.443844,0.39309218645793
6.645495,0.405191798205577
6.84715,0.417001019271292
7.048804,0.428616646549051
7.250458,0.440135476932815
7.45211,0.451267119740669
7.653765,0.462398762548506
7.855418,0.473336811568405
8.057072,0.484178063694292
8.258722,0.494825722032241
8.460376,0.505376583476195
8.662031,0.515927444920149
8.863682,0.526284712576147
9.065338,0.536641980232146
9.266991,0.546805654100173
9.468644,0.557162921756172
9.670297,0.567133001836243
9.871951,0.577296675704269
10.0736,0.587653943360268
10.27526,0.59917277374405
10.47691,0.608271681778288
10.67856,0.617951371176409
10.88022,0.627727857468508
11.08187,0.637407546866647
11.28352,0.647087236264768
11.48518,0.656863722556884
11.68683,0.666640208848983
11.88848,0.676416695141099
12.09014,0.685999587645242
12.2918,0.695776073937341
12.49347,0.705358966441485
12.6901,0.714845062051651
12.88673,0.724040766979867
13.08839,0.733720456378005
13.29006,0.743303348882149
13.49173,0.752886241386292
13.6934,0.762372336996459
13.89506,0.771955229500602
14.09673,0.781441325110768
14.2984,0.791024217614912
14.50006,0.800316719437105
14.70172,0.809706018153294
14.90338,0.81919211376346
15.10505,0.828775006267603
15.30672,0.83797071119582
15.50839,0.847553603699963
15.71006,0.856942902416152
15.91172,0.866428998026318
16.11339,0.875818296742506
16.31506,0.885207595458677
16.51672,0.894596894174866
16.71839,0.904082989785032
16.92006,0.913375491607225
17.12173,0.922764790323414
17.3234,0.932057292145607
17.52506,0.941543387755773
17.72673,0.950739092684007
17.9284,0.960128391400178
18.13006,0.969517690116366
18.33174,0.978906988832555
18.5334,0.988296287548726
18.73507,0.997588789370937
18.93674,1.00697808808711
19.1384,1.0163673868033
19.34008,1.02575668551948
19.54174,1.03504918734168
19.74341,1.04443848605787
19.94508,1.05382778477406
20.14675,1.06321708349023
20.34841,1.07250958531244
20.55008,1.0819956809226
20.75175,1.09138497963877
20.95342,1.10087107524894
21.15508,1.11026037396513
21.35675,1.1197464695753
21.55842,1.12923256518546
21.76009,1.1388154576896
21.96176,1.14820475640578
22.16342,1.15788444580391
22.36509,1.16746733830806
22.56676,1.17714702770618
22.76843,1.18663312331635
22.9701,1.19631281271447
23.17176,1.20599250211261
23.37343,1.2157689884047
23.5751,1.22544867780283
23.77676,1.23532196098892
23.97844,1.24509844728103
24.1801,1.25506852736111
24.38174,1.26494181054718
24.58338,1.27500868752125
24.78502,1.28536595517723
24.98666,1.29572322283323
25.1883,1.30588689670127
25.38994,1.31624416435725
25.59158,1.32669822890723
25.79322,1.33715229345721
25.99485,1.34779995179516
26.1965,1.35844761013309
26.39813,1.36928886225899
26.59978,1.3801301143849
26.80141,1.39116496029875
27.00305,1.40229660310661
27.20469,1.41342824591445
27.40632,1.42475348251025
27.60796,1.43636910978801
27.8096,1.44817833085373
28.01124,1.46008434881342
28.21289,1.47218396056108
28.41452,1.48438036920273
28.61616,1.49667357473835
28.8178,1.50935396784989
29.01944,1.52232475164337
29.22108,1.53577951990678
29.42272,1.55000866332202
29.62436,1.56510897878309
29.826,1.58195163833583
30.02764,1.59782632894876
30.22928,1.6131202381978
30.43091,1.62783336608295
30.63255,1.64274008775607
30.83419,1.65784040321714
31.03583,1.67332790625416
31.23746,1.68978337823097
31.4391,1.70759400672352
31.64074,1.72753416688366
31.84238,1.74941026492342
32.04402,1.77399667599466
32.24566,1.79993824358164
32.4473,1.82452465465288
32.64894,1.84862708125423
